Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RPL_POWER.PrjPcb|ReportField=ProjectFullPath~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_POWER.PrjPcb|ReportField=Title~Bill of Materials For Project [RPL_POWER.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~366|ReportField=ReportTime~8:47:54 AM|ReportField=ReportDate~12/29/2017|ReportField=ReportDateTime~12/29/2017 8:47:54 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/29/2017|ReportField=CurrentTime~8:44:03 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_MAP.SchDoc|ReportField=DocumentName~RPL_MAP.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/28/2017|ReportField=Organization~|ReportField=ProjectName~RPL_POWER.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Multi Sheets View|ReportField=DataSourceFileName~RPL_POWER.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Omid\RPL Projects\RPL_POWER\RPL_POWER.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|Cap||C9_1|EEE_FK1V221AP|Cap Elec|1
12|Cap||C11_1|EEH_ZC1K470P|Cap Elec|1
13|Cap||C12_1|GRJ32DC72A475KE11L|Cap|1
14|Cap||CT_9_U_RPL_POWER_SOLENOIDS_REV21, CT_9_U_RPL_POWER_SOLENOIDS_REV22, CT_9_U_RPL_POWER_SOLENOIDS_REV23, CT_9_U_RPL_POWER_SOLENOIDS_REV24, CT_9_U_RPL_POWER_SOLENOIDS_REV25, CT_9_U_RPL_POWER_SOLENOIDS_REV26, CT_9_U_RPL_POWER_SOLENOIDS_REV27, CT_9_U_RPL_POWER_SOLENOIDS_REV28, CT_9_U_RPL_POWER_SOLENOIDS_REV29, CT_9_U_RPL_POWER_SOLENOIDS_REV210, CT_9_U_RPL_POWER_SOLENOIDS_REV211, CT_9_U_RPL_POWER_SOLENOIDS_REV212, CT_9_U_RPL_POWER_SOLENOIDS_REV213, CT_9_U_RPL_POWER_SOLENOIDS_REV214, CT_9_U_RPL_POWER_SOLENOIDS_REV215, CT_9_U_RPL_POWER_SOLENOIDS_REV216|(1210) CAPC3225X280|Cap|16
15|Diod||D1_1, D2_1|SODFL250X80-2N|Diod|2
16|19-337/R6GHBHC-A01/2T|LED Tri-Color Blue/Green/Red 468nm/518nm/632nm 6-Pin T/R|D1_9|LED_19-337/R6GHBHC-A01/2T|LED 19-337/R6GHBHC-A01/2T|1
17|US1B-13-F||D1_9_U_RPL_POWER_SOLENOIDS_REV21, D1_9_U_RPL_POWER_SOLENOIDS_REV22, D1_9_U_RPL_POWER_SOLENOIDS_REV23, D1_9_U_RPL_POWER_SOLENOIDS_REV24, D1_9_U_RPL_POWER_SOLENOIDS_REV25, D1_9_U_RPL_POWER_SOLENOIDS_REV26, D1_9_U_RPL_POWER_SOLENOIDS_REV27, D1_9_U_RPL_POWER_SOLENOIDS_REV28, D1_9_U_RPL_POWER_SOLENOIDS_REV29, D1_9_U_RPL_POWER_SOLENOIDS_REV210, D1_9_U_RPL_POWER_SOLENOIDS_REV211, D1_9_U_RPL_POWER_SOLENOIDS_REV212, D1_9_U_RPL_POWER_SOLENOIDS_REV213, D1_9_U_RPL_POWER_SOLENOIDS_REV214, D1_9_U_RPL_POWER_SOLENOIDS_REV215, D1_9_U_RPL_POWER_SOLENOIDS_REV216|US1B-13-F|Diod|16
18|D Zener|Zener Diode|D3_1|SMAJ30A-TP|D Zener|1
19|ferrite bead||FB1_5_U_RPL_TEMP1, FB1_5_U_RPL_TEMP2, FB1_5_U_RPL_TEMP3, FB1_5_U_RPL_TEMP4, FB1_5_U_RPL_TEMP5, FB1_5_U_RPL_TEMP6, FB1_5_U_RPL_TEMP7, FB1_5_U_RPL_TEMP8, FB1_6, FB1_8, FB1_10, FB2_9_U_RPL_POWER_SOLENOIDS_REV21, FB2_9_U_RPL_POWER_SOLENOIDS_REV22, FB2_9_U_RPL_POWER_SOLENOIDS_REV23, FB2_9_U_RPL_POWER_SOLENOIDS_REV24, FB2_9_U_RPL_POWER_SOLENOIDS_REV25, FB2_9_U_RPL_POWER_SOLENOIDS_REV26, FB2_9_U_RPL_POWER_SOLENOIDS_REV27, FB2_9_U_RPL_POWER_SOLENOIDS_REV28, FB2_9_U_RPL_POWER_SOLENOIDS_REV29, FB2_9_U_RPL_POWER_SOLENOIDS_REV210, FB2_9_U_RPL_POWER_SOLENOIDS_REV211, FB2_9_U_RPL_POWER_SOLENOIDS_REV212, FB2_9_U_RPL_POWER_SOLENOIDS_REV213, FB2_9_U_RPL_POWER_SOLENOIDS_REV214, FB2_9_U_RPL_POWER_SOLENOIDS_REV215, FB2_9_U_RPL_POWER_SOLENOIDS_REV216, FB2_10|RES 0805|ferrite bead|28
20|ferrite bead||FB1_7||ferrite bead|1
21|ferrite bead||FB1_9_U_RPL_POWER_SOLENOIDS_REV21, FB1_9_U_RPL_POWER_SOLENOIDS_REV22, FB1_9_U_RPL_POWER_SOLENOIDS_REV23, FB1_9_U_RPL_POWER_SOLENOIDS_REV24, FB1_9_U_RPL_POWER_SOLENOIDS_REV25, FB1_9_U_RPL_POWER_SOLENOIDS_REV26, FB1_9_U_RPL_POWER_SOLENOIDS_REV27, FB1_9_U_RPL_POWER_SOLENOIDS_REV28, FB1_9_U_RPL_POWER_SOLENOIDS_REV29, FB1_9_U_RPL_POWER_SOLENOIDS_REV210, FB1_9_U_RPL_POWER_SOLENOIDS_REV211, FB1_9_U_RPL_POWER_SOLENOIDS_REV212, FB1_9_U_RPL_POWER_SOLENOIDS_REV213, FB1_9_U_RPL_POWER_SOLENOIDS_REV214, FB1_9_U_RPL_POWER_SOLENOIDS_REV215, FB1_9_U_RPL_POWER_SOLENOIDS_REV216|RES 1206|ferrite bead|16
22|282834-2|TERM BLOCK 2POS SIDE ENT 2.54MM|J1|TE 282834-2|282834-2|1
23|282834-3|TERM BLOCK 3POS SIDE ENT 2.54MM|J1_5_U_RPL_TEMP1, J1_5_U_RPL_TEMP2, J1_5_U_RPL_TEMP3, J1_5_U_RPL_TEMP4, J1_5_U_RPL_TEMP5, J1_5_U_RPL_TEMP6, J1_5_U_RPL_TEMP7, J1_5_U_RPL_TEMP8|TE 282834-3|282834-3|8
24|SPI0|WR-WTB 1.00 mm SMT Male Horizontal Shrouded, 6p|J2|665106131822|665106131822|1
25|UART|WR-WTB 1.00 mm SMT Male Horizontal Shrouded, 4p|J6|665104131822|665104131822|1
26|I2C|WR-WTB 1.00 mm SMT Male Horizontal Shrouded, 4p|J7|665104131822|665104131822|1
27|GPIO|WR-WTB 1.00 mm SMT Male Horizontal Shrouded, 8p|J8|665108131822|665108131822|1
28|COILCRAFT XAL6060||L1||Inductor|1
29|Inductor||L1_1|SER1360-103KLB|Inductor|1
30|VISHAY IHLP2525EZ-01||L1_3||Inductor|1
31|Inductor||L1_4||Inductor|1
32|Inductor||L1_6|INDC2016X95|Inductor|1
33|LED LTST-C190GKT|Green 1.6 x 0.8 x 0.8 mm 130Â° Water Clear 6 mcd 2.1 V SMT LED|LD1_8|LEDM1608X80_LTST-C190GKT(Primary)|LED LTST-C190GKT|1
34|MAX31865||MA_U_RPL_TEMP1, MA_U_RPL_TEMP2, MA_U_RPL_TEMP3, MA_U_RPL_TEMP4, MA_U_RPL_TEMP5, MA_U_RPL_TEMP6, MA_U_RPL_TEMP7, MA_U_RPL_TEMP8||MAX31865|8
35|MPL3115A2|Pressure Sensor, 50-110kpa, Lga-8|MPL_7|LGA8|MPL3115A2|1
36|JTAG/Programmer|Header, 5-Pin, Dual row|P1|FTSH-105-01-XXX-D-K|Header 5X2|1
37|V-Battery|Header, 2-Pin|P1_10|PCBComponent_1|Header 2|1
38|ADC|Header, 6-Pin, Dual row|P2_10|HDR2X6|Header 6X2|1
39|RJK0651DPB|Imported|Q1_1, Q2_1|LFPAK|RJK0651DPB-00#J5|2
40|MTD3055EL||Q1_9_U_RPL_POWER_SOLENOIDS_REV21, Q1_9_U_RPL_POWER_SOLENOIDS_REV22, Q1_9_U_RPL_POWER_SOLENOIDS_REV23, Q1_9_U_RPL_POWER_SOLENOIDS_REV24, Q1_9_U_RPL_POWER_SOLENOIDS_REV25, Q1_9_U_RPL_POWER_SOLENOIDS_REV26, Q1_9_U_RPL_POWER_SOLENOIDS_REV27, Q1_9_U_RPL_POWER_SOLENOIDS_REV28, Q1_9_U_RPL_POWER_SOLENOIDS_REV29, Q1_9_U_RPL_POWER_SOLENOIDS_REV210, Q1_9_U_RPL_POWER_SOLENOIDS_REV211, Q1_9_U_RPL_POWER_SOLENOIDS_REV212, Q1_9_U_RPL_POWER_SOLENOIDS_REV213, Q1_9_U_RPL_POWER_SOLENOIDS_REV214, Q1_9_U_RPL_POWER_SOLENOIDS_REV215, Q1_9_U_RPL_POWER_SOLENOIDS_REV216|TO229P990X239-3N|Mosfet|16
41|RJK0451DPB|Imported|Q3_1, Q4_1|LFPAK|RJK0451DPB-00#J5|2
42|Res||R1_1|WSL12063L000FEA(1206)|Res|1
43|Res||R1_2, R1_3, R1_4, R2_2, R2_3, R2_4, R3_2, R3_3, R3_4, R4_2, R4_3, R4_8, R6_7, R7_7, R8_7, R9_7|0603|Res|16
44|Res||R1_5_U_RPL_TEMP1, R1_5_U_RPL_TEMP2, R1_5_U_RPL_TEMP3, R1_5_U_RPL_TEMP4, R1_5_U_RPL_TEMP5, R1_5_U_RPL_TEMP6, R1_5_U_RPL_TEMP7, R1_5_U_RPL_TEMP8, R2_6||Res|9
45|Res||R1_6, R1_8, R1_9_U_RPL_POWER_SOLENOIDS_REV21, R1_9_U_RPL_POWER_SOLENOIDS_REV22, R1_9_U_RPL_POWER_SOLENOIDS_REV23, R1_9_U_RPL_POWER_SOLENOIDS_REV24, R1_9_U_RPL_POWER_SOLENOIDS_REV25, R1_9_U_RPL_POWER_SOLENOIDS_REV26, R1_9_U_RPL_POWER_SOLENOIDS_REV27, R1_9_U_RPL_POWER_SOLENOIDS_REV28, R1_9_U_RPL_POWER_SOLENOIDS_REV29, R1_9_U_RPL_POWER_SOLENOIDS_REV210, R1_9_U_RPL_POWER_SOLENOIDS_REV211, R1_9_U_RPL_POWER_SOLENOIDS_REV212, R1_9_U_RPL_POWER_SOLENOIDS_REV213, R1_9_U_RPL_POWER_SOLENOIDS_REV214, R1_9_U_RPL_POWER_SOLENOIDS_REV215, R1_9_U_RPL_POWER_SOLENOIDS_REV216, R2_8, R2_9, R3_6, R3_8, R3_9, R4_9, R5_8|RES 0805|Res|25
46|Res||R1_7, R2_7, R3_7, R5_7, RS_9_U_RPL_POWER_SOLENOIDS_REV21, RS_9_U_RPL_POWER_SOLENOIDS_REV22, RS_9_U_RPL_POWER_SOLENOIDS_REV23, RS_9_U_RPL_POWER_SOLENOIDS_REV24, RS_9_U_RPL_POWER_SOLENOIDS_REV25, RS_9_U_RPL_POWER_SOLENOIDS_REV26, RS_9_U_RPL_POWER_SOLENOIDS_REV27, RS_9_U_RPL_POWER_SOLENOIDS_REV28, RS_9_U_RPL_POWER_SOLENOIDS_REV29, RS_9_U_RPL_POWER_SOLENOIDS_REV210, RS_9_U_RPL_POWER_SOLENOIDS_REV211, RS_9_U_RPL_POWER_SOLENOIDS_REV212, RS_9_U_RPL_POWER_SOLENOIDS_REV213, RS_9_U_RPL_POWER_SOLENOIDS_REV214, RS_9_U_RPL_POWER_SOLENOIDS_REV215, RS_9_U_RPL_POWER_SOLENOIDS_REV216|RES 1206|Res|20
47|Res||R2_1, R5_1|PTN1206E4993BBT1(1206)|Res|2
48|Res||R3_1|RN731ETTP5622B25(0402)|Res|1
49|Res||R4_1|ERA-2AEB510X(0402)|Res|1
50|Res||R6_1|PFC-W0603LF-03-2742-B(0603)|Res|1
51|200KHz||R7_1|RT0603BRD07147KL(0603)|Res|1
52|Res||R8_1|CRE2512-FZ-R004E-3(2512)|Res|1
53|Res||R9_1, Rser_1|RC0603FR-075K1L(0603)|Res|2
54|Res||R10_1|RT0603DRE073K83L(0603)|Res|1
55|Res||R11_1|WSL2010R0150FEA(2010)|Res|1
56|Res||R12_1|ERJ-2RKF2003X(0402)|Res|1
57|Res||R13_1, R14_1|ERA-2AEB104X(0402)|Res|2
58|FSMSMTR|SWITCH TACTILE SPST-NO 0.05A 24V|S1_6|TE FSMSMTR|FSMSMTR|1
59|Header 2|Header, 2-Pin|S1_9_U_RPL_POWER_SOLENOIDS_REV21, S1_9_U_RPL_POWER_SOLENOIDS_REV22, S1_9_U_RPL_POWER_SOLENOIDS_REV23, S1_9_U_RPL_POWER_SOLENOIDS_REV24, S1_9_U_RPL_POWER_SOLENOIDS_REV25, S1_9_U_RPL_POWER_SOLENOIDS_REV26, S1_9_U_RPL_POWER_SOLENOIDS_REV27, S1_9_U_RPL_POWER_SOLENOIDS_REV28, S1_9_U_RPL_POWER_SOLENOIDS_REV29, S1_9_U_RPL_POWER_SOLENOIDS_REV210, S1_9_U_RPL_POWER_SOLENOIDS_REV211, S1_9_U_RPL_POWER_SOLENOIDS_REV212, S1_9_U_RPL_POWER_SOLENOIDS_REV213, S1_9_U_RPL_POWER_SOLENOIDS_REV214, S1_9_U_RPL_POWER_SOLENOIDS_REV215, S1_9_U_RPL_POWER_SOLENOIDS_REV216|HDR1X2|Header 2|16
60|LT3791EFE-1#PBF|Imported|U1|TSSOP-38_FE/AA|LT3791EFE-1#PBF|1
61|LT8613EUDE#PBF|Imported|U1_2, U1_3|QFN-28_UDE|LT8613EUDE#PBF|2
62|LT8612EUDE#TRPBF|Imported|U1_4|QFN-28_UDE-M|LT8612EUDE#TRPBF|1
63|XMS432P401RIPZR|Imported|U1_6|PZ0100A_N|XMS432P401RIPZR|1
64|MCP2515T-I/SO|MCP2515 Series 5.5 V 1 Mb/s Stand Alone SPI Interface CAN Controller- SOIC-18|U1_8|SOIC18-1.27-11.5X7.5MM|MCP2515T-I/SO (SOIC18)|1
65|SN65HVD230QDR|3.3-V CAN Transceiver with Standby Mode 8-SOIC -40 to 125|U2_8|SOIC127P600X175-8N|SN65HVD230QDR|1
66|LT1910ES8#PBF|Imported|U5_9_U_RPL_POWER_SOLENOIDS_REV21, U5_9_U_RPL_POWER_SOLENOIDS_REV22, U5_9_U_RPL_POWER_SOLENOIDS_REV23, U5_9_U_RPL_POWER_SOLENOIDS_REV24, U5_9_U_RPL_POWER_SOLENOIDS_REV25, U5_9_U_RPL_POWER_SOLENOIDS_REV26, U5_9_U_RPL_POWER_SOLENOIDS_REV27, U5_9_U_RPL_POWER_SOLENOIDS_REV28, U5_9_U_RPL_POWER_SOLENOIDS_REV29, U5_9_U_RPL_POWER_SOLENOIDS_REV210, U5_9_U_RPL_POWER_SOLENOIDS_REV211, U5_9_U_RPL_POWER_SOLENOIDS_REV212, U5_9_U_RPL_POWER_SOLENOIDS_REV213, U5_9_U_RPL_POWER_SOLENOIDS_REV214, U5_9_U_RPL_POWER_SOLENOIDS_REV215, U5_9_U_RPL_POWER_SOLENOIDS_REV216|SO-8_S|LT1910ES8#PBF|16
67|32.7680KHZ 12.5PF||Y1_6|XTAL320X150X90|XTAL|1
68|16MHz||Y1_7||XTAL|1
69|XTAL_4pin_16MHz_8pF||Y1_8|OSCSC105P160X120X35-4N|XTAL_4pin_16MHz_8pF|1
70|48.00 MHZ 12.0PF||Y2_6|OSCSC105P160X120X35-4N|XTAL_4pin_16MHz_8pF|1
